Name                 Chip  XDISP  ECH   XDAng   Deck  Rbin  Cbin   IOrder EOrder
adrd97-07_template.idl    1 RED97 -0.220 -0.6385 C5 1 2 58 96
adrd97-08_template.idl    1 RED97 -0.220 -0.6385 C5 1 2 58 96
adrd97-09_template.idl    1 RED97  0.300 -0.4695 C5 1 2 56 91
adrd97-10_template.idl    1 RED97  0.300 -0.4695 C5 1 2 56 91
adrd97-11_template.idl    1 RED97  0.220 -0.6385 C5 1 2 58 96
adrd97-12_template.idl    1 RED97  0.220 -0.6385 C5 1 2 58 96
adrd97-13_template.idl    1 RED97 -0.250 -0.6750 C1 1 2 59 97
adrd97-14_template.idl    1 RED97 -0.250 -0.6750 C1 1 2 59 97
adrd97-15_template.idl    1 RED97  0.250 -0.6615 C1 1 2 59 97
adrd97-16_template.idl    1 RED97  0.250 -0.6615 C1 1 2 59 97
adrd97-17_template.idl    1 RED97  0.085  0.0305 C1 1 2 51 78
adrd97-18_template.idl    1 RED97  0.085  0.0305 C1 1 2 51 78
adrd97-19_template.idl    1 RED97 -1.146  1.3970 C2 1 2 41 55
adrd97-20_template.idl    1 RED97 -1.146  1.3970 C2 1 2 41 55
adrd97-21_template.idl    1 RED97 -0.880  1.5075 C2 1 2 40 54
adrd97-22_template.idl    1 RED97 -0.880  1.5075 C2 1 2 40 54
adrd97-23_template.idl    1 RED97  0.880  1.5675 C2 1 2 40 54
adrd97-24_template.idl    1 RED97  0.880  1.5675 C2 1 2 40 54
adrd97-25_template.idl    1 RED97  0.577  0.4730 C2 1 2 48 69
adrd97-26_template.idl    1 RED97 -0.394 -0.2310 C1 1 2 54 84
adrd97-27_template.idl    1 RED97  0.370 -0.2125 C1 1 2 54 84
adrd97-28_template.idl    1 RED97  0.107  0.0315 C1 1 2 51 78
adrd97-29_template.idl    1 RED97 -1.126  1.3490 C2 1 2 41 56
adrd97-30_template.idl    1 RED97 -0.257 -0.6310 C1 1 2 58 95
adrd97-31_template.idl    1 RED97  0.291 -0.6195 C1 1 2 58 95
adrd97-32_template.idl    1 RED97 -0.553  0.2810 C2 1 2 49 72
adrd97-33_template.idl    1 RED97 -0.687 -0.3790 C1 1 2 55 87
adrd97-34_template.idl    1 RED97 -0.821  1.3835 C2 1 2 41 55
adrd97-35_template.idl    1 RED97 -0.821  1.3835 C2 1 2 41 55
adrd97-36_template.idl    1 RED97  0.544  0.3180 C2 1 2 49 72
adrd97-37_template.idl    1 RED97  0.902  1.4420 C2 1 2 41 55
adrd97-38_template.idl    1 RED97  0.902  1.4420 C2 1 2 41 55
adrd97-39_template.idl    1 RED97  0.150 -0.7495 B2 1 2 60 100
adrd97-40_template.idl    1 RED97  0.150 -0.7495 B2 1 2 60 100
adrd97-41_template.idl    1 RED97  0.250 -0.4185 C1 1 2 56 89
adrd97-42_template.idl    1 RED97  0.250 -0.4185 C1 1 2 56 89
adrd97-43_template.idl    1 RED97  0.370  1.0655 C2 1 2 43 60
adrd97-44_template.idl    1 RED97  0.370  1.0655 C2 1 2 43 60
adrd97-45_template.idl    1 RED97  0.500  0.2990 C2 1 2 49 72
adrd97-46_template.idl    1 RED97  0.500  0.2990 C2 1 2 49 72
adrd97-47_template.idl    1 RED97  0.690  0.7885 C2 1 2 45 64
adrd97-48_template.idl    1 RED97  0.690  0.7885 C2 1 2 45 64
adrd97-49_template.idl    1 RED97 -0.150 -0.7490 B2 1 2 60 100
adrd97-50_template.idl    1 RED97 -0.150 -0.7490 B2 1 2 60 100
adrd97-51_template.idl    1 RED97 -0.280 -0.6800 C1 1 2 59 97
adrd97-52_template.idl    1 RED97 -0.280 -0.6805 C1 1 2 59 97
adrd97-53_template.idl    1 RED97 -0.480  0.2710 C2 1 2 49 72
adrd97-54_template.idl    1 RED97 -0.480  0.2710 C2 1 2 49 72
adrd97-55_template.idl    1 RED97 -0.690  0.7495 C2 1 2 45 64
adrd97-56_template.idl    1 RED97 -0.690  0.7495 C2 1 2 45 64
adrd97-57_template.idl    1 RED97 -0.339 -0.3795 C1 1 2 55 88
adrd97-58_template.idl    1 RED97  0.357 -0.3805 C1 1 2 56 88
adrd97-59_template.idl    1 RED97 -0.183 -0.8330 A11 1 2 61 103
adrd97-60_template.idl    1 RED97 -0.183 -0.8330 A11 1 2 61 103
adrd97-61_template.idl    1 RED97  0.037 -0.8710 A11 1 2 62 105
adrd97-62_template.idl    1 RED97  0.037 -0.8710 A11 1 2 62 105
adrd97-63_template.idl    1 RED97  0.288 -0.9190 A11 1 2 62 107
adrd97-64_template.idl    1 RED97  0.288 -0.9190 A11 1 2 62 107
adrd97-65_template.idl    1 RED97  0.000  1.7320 A12 1 2 39 52
adrd97-66_template.idl    1 RED97 -1.032  0.8090 A12 1 2 44 63
adrd97-67_template.idl    1 RED97  1.032  0.8090 A12 1 2 45 64
adrd97-68_template.idl    1 RED97  1.032  2.7035 A12 1 2 39 44
adrd97-69_template.idl    1 RED97  0.310  0.6085 C5 1 2 46 67
adrd97-70_template.idl    1 RED97  0.310  0.6085 C5 1 2 46 67
adrd97-71_template.idl    1 RED97 -0.056 -0.5175 C5 1 2 57 92
adrd97-72_template.idl    1 RED97 -0.056 -0.5175 C5 1 2 57 92
adrd97-73_template.idl    1 RED97 -0.000 -0.8340 A11 1 2 61 103
adrd97-74_template.idl    1 RED97 -0.000 -0.8340 A11 1 2 61 103
adrd97-75_template.idl    1 RED97 -0.000 -0.8355 A11 1 2 61 103
adrd97-76_template.idl    1 RED97 -0.000 -0.8355 A11 1 2 61 103
aduv-01_template.idl      1 UV  0.000  1.7200 C2 1 2 62 84
aduv-02_template.idl      1 UV -0.200  1.7200 C2 1 2 62 84
aduv-03_template.idl      1 UV  0.200  1.7200 C2 1 2 62 84
aduv-04_template.idl      1 UV -0.400  1.7200 C2 1 2 62 84
aduv-05_template.idl      1 UV  0.400  1.7200 C2 1 2 62 84
aduv-06_template.idl      1 UV  0.000  2.0890 C2 1 2 59 78
aduv-07_template.idl      1 UV -0.200  2.0890 C2 1 2 59 78
aduv-08_template.idl      1 UV  0.200  2.0890 C2 1 2 59 78
aduv-09_template.idl      1 UV -0.400  2.0890 C2 1 2 59 78
aduv-10_template.idl      1 UV  0.400  2.0890 C2 1 2 59 78
aduv-11_template.idl      1 UV  0.000  1.3885 C1 1 2 65 90
aduv-12_template.idl      1 UV -0.200  1.3885 C1 1 2 65 90
aduv-13_template.idl      1 UV  0.200  1.3885 C1 1 2 65 90
aduv-14_template.idl      1 UV  0.000  1.0900 C1 1 2 68 96
aduv-15_template.idl      1 UV -0.200  1.0900 C1 1 2 68 96
aduv-16_template.idl      1 UV  0.200  1.0900 C1 1 2 68 96
aduv-17_template.idl      1 UV  0.000  0.8295 C1 1 2 71 102
aduv-18_template.idl      1 UV -0.200  0.8295 C1 1 2 71 101
aduv-19_template.idl      1 UV  0.200  0.8295 C1 1 2 71 102
aduv-20_template.idl      1 UV  0.000  0.5890 C1 1 2 74 108
aduv-21_template.idl      1 UV -0.200  0.5890 C1 1 2 74 107
aduv-22_template.idl      1 UV  0.200  0.5890 C1 1 2 74 108
aduv-23_template.idl      1 UV  0.000  0.3705 C1 1 2 77 111
aduv-24_template.idl      1 UV  0.000  0.3705 C1 1 2 77 111
aduv-25_template.idl      1 UV  0.000  0.3705 C1 1 2 77 111
